gliederungsschluessel,gliederungsebene,name,url
10201900,KV,Coburg-Land,http://www.gruene-coburg-land.de
10201901,OV,Rödental,
10202000,KV,Coburg-Stadt,http://www.gruene-coburg.de
10202100,KV,Dachau,http://www.gruene-dachau.de
10202101,OV,Dachau,http://basis.gruene.de/dachau/ov
10202102,OV,Haimhausen,
10202200,KV,Deggendorf,http://www.gruene-deggendorf.de
10202201,OV,Osterhofen,
10202300,KV,Dillingen,http://www.gruene-dillingen.de
10202302,OV,Wertingen,
10202303,OV,Dillingen,
10202400,KV,Dingolfing-Landau,http://gruene-dgf-lan.de
10202500,KV,Donau-Ries,http://www.gruene-don.de/
10202502,OV,Donauwörth,http://www.gruene-donauwoerth.de
10202503,OV,Kaisheim,http://www.gruene-kaisheim.de
10202505,OV,Nördlingen,
10202506,OV,Oberndorf,
10202600,KV,Ebersberg,http://www.gruene-ebe.de
10202601,OV,Aßling,http://www.gruene-assling.de/ov.htm
10202602,OV,Ebersberg,
10202603,OV,Grafing,http://www.gruene-grafing.de
10202604,OV,Kirchseeon,http://www.gruene-liste-kirchseeon.de
10202605,OV,Markt Schwaben,http://www.gruene-ebe.de/marktschwaben/index.htm
10202606,OV,Poing,
10202607,OV,Vaterstetten,http://www.gruene-ebe.de/ov_vaterstetten.html
10202608,OV,Zorneding,
10202609,OV,Anzing,
10202700,KV,Eichstätt,http://www.gruene-eichstaett.de
10202702,OV,Wellheim,
10202703,OV,Mörnsheim,
10202800,KV,Erding,http://www.gruene-erding.de
10202801,OV,Dorfen,
10202802,OV,Erding,
10202803,OV,Isen,
10202900,KV,Erlangen-Land,http://www.gruene-erlangen-land.de
10202901,OV,Eckental,
10202903,OV,Höchstadt-Land,
10202904,OV,Kalchreuth,
10202905,OV,Seebachgrund,
10202906,OV,Herzogenaurach,
10202907,OV,Adelsdorf,
10202908,OV,Uttenreuth,
10202909,OV,Heroldsberg,
10202910,OV,Möhrendorf,
10202911,OV,Bubenreuth,http://gruene-bubenreuth.de
10202912,OV,Röttenbach,
10203000,KV,Erlangen-Stadt,http://www.gruene-erlangen.de
10203100,KV,Forchheim,http://www.gruene-forchheim.de
10203101,OV,Neunkirchen am Brand,
10203102,OV,Forchheim,
10203103,OV,Gräfenberger Oberland,
10203104,OV,Igensdorf,http://www.gruene-igensdorf.de/
10203200,KV,Freising,http://www.gruene-freising.de
10203202,OV,Freising,
10203203,OV,Moosburg,
10203204,OV,Neufahrn,
10203206,OV,Holledau,
10203207,OV,Langenbach,
10203208,OV,Eching,
10203209,OV,Hallbergmoos,
10203300,KV,Freyung-Grafenau,http://www.gruene-frg.de
